,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,TotalCrime,violent_crime_crimePercent,homicide_crimePercent,rape_legacy_crimePercent,rape_revised_crimePercent,robbery_crimePercent,aggravated_assault_crimePercent,property_crime_crimePercent,burglary_crimePercent,larceny_crimePercent,motor_vehicle_theft_crimePercent,violent_crime_popPercent,homicide_popPercent,rape_legacy_popPercent,rape_revised_popPercent,robbery_popPercent,aggravated_assault_popPercent,property_crime_popPercent,burglary_popPercent,larceny_popPercent,motor_vehicle_theft_popPercent
0,1979,National_Total,National_Total,220099000,1208030,21460,76390.0,,480700,629480,11041500,3327700,6601000,1112800,,24499060.0,0.049309238803447966,0.0008759519753002769,0.0031180788160851884,,0.01962116097515578,0.025694047036906722,0.45069076119655205,0.1358297012211897,0.2694389090846751,0.045422150890687234,0.0054885755955274675,9.750157883497881e-05,0.0003470710907364413,,0.0021840171922634815,0.0028599857336925657,0.050166061635900205,0.015119105493437044,0.029991049482278428,0.005055906660184735
1,1979,AK,Alaska,406000,1994,54,292.0,,445,1203,23193,5616,15076,2501,,50374.0,0.03958391233572875,0.0010719815777980705,0.005796641124389566,,0.0088339222614841,0.023881367372057014,0.4604160876642713,0.11148608409099932,0.2992813753126613,0.04964862826061063,0.004911330049261084,0.00013300492610837438,0.0007192118226600986,,0.0010960591133004926,0.0029630541871921183,0.0571256157635468,0.013832512315270936,0.037133004926108375,0.006160098522167487
2,1979,AL,Alabama,3769000,15578,496,1037.0,,4127,9918,144372,48517,83791,12064,,319900.0,0.04869646764613942,0.0015504845264145046,0.0032416380118787122,,0.012900906533291654,0.031003438574554548,0.45130353235386056,0.15166301969365426,0.2619287277274148,0.037711784932791495,0.004133191828071106,0.00013159989387105333,0.00027513929424250464,,0.0010949854072698328,0.0026314672326877156,0.038305120721676834,0.012872645263995754,0.02223162642610772,0.0032008490315733615
3,1979,AR,Arkansas,2180000,7984,198,595.0,,1626,5565,70949,21457,45267,4225,,157866.0,0.05057453789923099,0.0012542282695450573,0.003769019294844995,,0.010299874577173046,0.035251415757667895,0.449425462100769,0.1359190706041833,0.28674318726008136,0.026763204236504377,0.0036623853211009173,9.08256880733945e-05,0.00027293577981651375,,0.0007458715596330275,0.0025527522935779815,0.0325454128440367,0.009842660550458716,0.02076467889908257,0.001938073394495413
4,1979,AZ,Arizona,2450000,14528,219,1120.0,,4305,8884,177977,48916,116976,12085,,385010.0,0.03773408482896548,0.0005688163943793668,0.0029090153502506428,,0.011181527752525908,0.023074725331809563,0.4622659151710345,0.1270512454221968,0.3038258746526064,0.03138879509623127,0.005929795918367347,8.938775510204082e-05,0.00045714285714285713,,0.001757142857142857,0.0036261224489795916,0.07264367346938776,0.019965714285714285,0.04774530612244898,0.004932653061224489
5,1979,CA,California,22696000,184087,2952,12239.0,,75767,93129,1511021,496310,847148,167563,,3390216.0,0.05429949006199015,0.0008707409793358299,0.003610094460058002,,0.02234872350316322,0.0274699311194331,0.44570050993800986,0.14639480198311847,0.24988024361869568,0.049425464336195685,0.008110988720479379,0.00013006697215368348,0.000539258019034191,,0.003338341557983786,0.004103322171307719,0.06657653330983433,0.02186772999647515,0.03732587240042298,0.0073829309129362
6,1979,CO,Colorado,2772000,14472,161,1472.0,,4353,8486,180984,49741,117898,13345,,390912.0,0.037021119842829076,0.0004118574001309758,0.003765553372626064,,0.011135498526522594,0.021708210543549444,0.4629788801571709,0.12724347167648986,0.3015972904387688,0.034138118041912247,0.0052207792207792205,5.808080808080808e-05,0.000531024531024531,,0.0015703463203463202,0.0030613275613275612,0.06529004329004329,0.017944083694083693,0.04253174603174603,0.004814213564213564
7,1979,CT,Connecticut,3115000,12902,131,752.0,,6021,5998,167131,48229,96997,21905,,360066.0,0.03583231963029,0.0003638221881543939,0.002088505996122933,,0.01672193431204279,0.016658057133969884,0.46416768036971,0.13394488788166614,0.2693867235451278,0.06083606894291602,0.004141894060995185,4.20545746388443e-05,0.00024141252006420544,,0.0019329052969502408,0.0019255216693418941,0.053653611556982346,0.015482825040128411,0.03113868378812199,0.007032102728731942
8,1979,DC,District of Columbia,656000,10553,180,489.0,,6920,2964,45877,13452,28819,3606,,112860.0,0.09350522771575404,0.001594896331738437,0.004332801701222754,,0.06131490342016658,0.026262626262626262,0.40649477228424596,0.1191919191919192,0.2553517632465001,0.03195108984582669,0.01608689024390244,0.00027439024390243905,0.0007454268292682927,,0.010548780487804879,0.004518292682926829,0.0699344512195122,0.02050609756097561,0.04393140243902439,0.005496951219512195
9,1979,DE,Delaware,582000,3127,33,162.0,,753,2179,34853,8890,23081,2882,,75960.0,0.04116640337019484,0.0004344391785150079,0.0021327014218009478,,0.009913112164296998,0.028686150605581884,0.45883359662980516,0.11703528172722485,0.3038572933122696,0.03794102159031069,0.005372852233676976,5.670103092783505e-05,0.00027835051546391755,,0.0012938144329896907,0.0037439862542955325,0.05988487972508591,0.015274914089347079,0.03965807560137457,0.004951890034364261
10,1979,FL,Florida,8860000,73881,1084,4576.0,,22097,46124,607281,190884,378099,38298,,1362324.0,0.05423159248460718,0.0007956991141608017,0.0033589660022138638,,0.01622007686864505,0.03385685049958747,0.4457684075153928,0.1401164480696222,0.277539704211333,0.02811225523443762,0.008338713318284424,0.00012234762979683973,0.0005164785553047404,,0.0024940180586907447,0.005205869074492099,0.06854187358916479,0.021544469525959366,0.04267483069977426,0.004322573363431151
